,id,year,release_years,movieLength,rating_kp,ageRating,votes_kp,budget,audience_count,fees_russia,sequelsAndPrequels,ticketsOnSale,actor,designer,writer,producer,operator,director,composer,editor,type_movie,num_actors,num_countries,num_genres,is_sequel,is_adult
11354,688654,2012,2022.5,110.0,7.747,12.0,6729,0.0,3500.0,20000.0,0,False,1,399,2,2,6,2,1,1,True,4,1,1,0,0
11361,1272297,2019,2022.5,100.0,5.352,18.0,5178,0.0,27230.0,361660.0,0,False,1,6,2,2,1,13,374,1,True,27,1,1,0,1
11364,818844,2013,2022.5,107.0,6.595,16.0,8753,0.0,27230.0,27312.0,0,False,2,9,4,1,2,5,374,26,True,35,1,1,0,0
11370,799410,2015,2022.5,105.0,5.817,18.0,2281,0.0,565.0,2212.0,0,False,1,1,2,2,9,2,25,554,True,50,1,2,0,1
11378,1112721,2018,2022.5,97.0,5.822,18.0,11457,115000000.0,17011.0,66768.0,0,False,9,11,7,1,6,5,26,10,True,23,1,1,0,1
11389,993589,2018,2022.5,75.0,5.154,18.0,10433,0.0,27230.0,775888.0,0,False,12,11,8,10,12,13,1,2,True,16,1,2,0,1
11393,974204,2017,2022.5,83.0,0.0,6.0,137,0.0,191.0,1018.0,0,False,1,399,85,1,1,2,374,554,True,1,1,1,0,0
11394,803412,2015,2022.5,79.0,5.262,16.0,994,1200000.0,27230.0,7585.0,0,False,2,1,1,5,12,1,4,2,True,20,1,2,0,0
11406,601530,2011,2022.5,105.0,5.797,16.0,1332,0.0,5764.0,22133.0,0,False,1,1,6,2,3,1,374,554,True,17,1,1,0,0
11417,694526,2012,2022.5,70.0,3.658,18.0,2555,55000.0,14817.0,92330.0,0,False,1,1,3,1,14,2,374,1,True,17,2,1,0,1
11438,1047968,2017,2022.5,86.0,4.719,12.0,2612,0.0,20809.0,68503.0,0,False,1,3,2,14,10,3,2,18,True,27,1,2,0,0
11442,918969,2015,2022.5,116.0,4.996,18.0,899,0.0,27230.0,4292.0,0,False,4,12,12,1,2,6,44,554,True,24,1,2,0,1
11451,771753,2014,2022.5,83.0,1.461,16.0,20224,7000000.0,27230.0,887615.0,0,False,4,399,1,2,3,1,4,2,True,24,2,3,0,0
11457,1048530,2018,2022.5,94.0,5.895,6.0,2245,0.0,16830.0,51665.0,0,False,4,2,1,1,1,2,4,5,True,30,1,1,0,0
11474,842433,2017,2022.5,85.0,5.008,12.0,46123,0.0,61167.0,267108.0,0,False,2,1,1,5,1,1,1,1,True,14,2,1,0,0
11475,1057083,2018,2022.5,79.0,7.425,16.0,711,22000.0,2995.0,11194.0,0,False,83,399,2,2,2,2,5,554,True,0,1,1,0,0
11482,1108683,2019,2022.5,127.0,6.093,16.0,64386,0.0,27230.0,2706875.0,0,False,2,12,10,6,16,8,10,13,True,50,1,3,0,0
11486,1255106,2019,2022.5,85.0,5.828,12.0,80450,0.0,27230.0,17796695.0,2,False,6,2,10,6,3,4,12,9,True,21,1,2,1,0
11527,732770,2013,2022.5,76.0,2.939,0.0,3357,1500000.0,11550.0,134065.0,0,False,1,1,1,1,185,1,1,554,False,12,1,3,0,0
11554,957724,2015,2022.5,88.0,5.992,16.0,604,0.0,27230.0,1826.0,0,False,1,5,1,7,10,1,2,1,True,5,1,1,0,0
11585,842451,2014,2022.5,78.0,7.654,16.0,4974,0.0,27230.0,86877.0,0,False,1,1,85,2,14,1,374,1,True,19,1,1,0,0
11624,457810,2010,2022.5,107.0,3.694,16.0,3805,5000000.0,132056.0,676300.0,0,False,7,8,5,2,2,6,374,10,True,45,1,2,0,0
11655,911182,2015,2022.5,45.0,0.0,0.0,147,0.0,14424.0,28966.0,15,False,83,399,2,4,185,4,374,554,False,0,1,2,1,0
11664,1008522,2016,2022.5,107.0,0.0,18.0,71,0.0,2862.0,12530.0,0,False,83,399,85,43,185,13,374,554,True,0,7,0,0,1
11666,893648,2015,2022.5,45.0,4.807,16.0,1287,0.0,27230.0,79168.0,15,False,5,1,1,4,185,2,19,554,False,17,1,2,1,0
11669,751916,2015,2022.5,84.0,5.972,12.0,40727,2300000.0,567915.0,7433309.0,2,False,6,1,4,3,7,13,374,11,True,29,1,1,1,0
11688,436220,2012,2022.5,110.0,6.901,16.0,3635,0.0,27230.0,26275.0,0,False,19,1,1,3,2,2,3,23,True,44,1,2,0,0
11708,1122116,2017,2022.5,85.0,0.0,16.0,112,0.0,4753.0,20525.0,0,False,1,399,85,1,1,1,374,1,True,15,7,2,0,0
11741,765098,2016,2022.5,111.0,5.779,12.0,13076,5000000.0,393322.0,1478900.0,0,False,11,8,15,4,22,3,1,1,True,23,1,2,0,0
11760,656423,2019,2022.5,94.0,5.313,6.0,1953,0.0,29356.0,25309.0,1,False,1,7,1,14,4,1,19,6,True,28,1,3,1,0
11770,927822,2018,2022.5,75.0,5.978,6.0,15040,0.0,49128.0,1665681.0,0,False,6,1,19,19,6,10,19,7,False,6,1,2,0,0
11780,818938,2015,2022.5,138.0,7.092,6.0,351,0.0,3898.0,12847.0,0,False,1,399,1,1,1,1,2,2,True,27,1,1,0,0
11857,1040409,2017,2022.5,53.0,0.0,0.0,235,0.0,125.0,182.0,0,False,83,399,85,43,185,2,374,554,False,0,1,2,0,0
11871,893627,2016,2022.5,75.0,3.757,18.0,6930,0.0,27230.0,262373.0,0,False,1,2,3,19,10,9,374,554,True,13,1,3,0,1
11877,1162846,2019,2022.5,87.0,5.278,16.0,89060,0.0,27230.0,7105760.0,2,False,5,7,5,3,15,13,374,554,True,33,1,1,1,0
11888,696434,2014,2022.5,80.0,4.392,12.0,20396,0.0,121904.0,894088.0,0,False,2,1,1,3,3,3,2,1,True,42,1,2,0,0
11932,565282,2012,2022.5,84.0,5.126,16.0,5141,3000000.0,129345.0,849776.0,0,False,1,3,1,8,19,1,374,24,True,25,1,1,0,0
11937,972211,2016,2022.5,104.0,4.836,16.0,830,0.0,27230.0,9495.0,0,False,2,399,85,43,185,3,374,554,True,23,1,0,0,0
11950,945391,2017,2022.5,100.0,6.201,18.0,125597,0.0,27230.0,7856010.0,2,False,17,4,6,10,18,8,10,13,True,46,1,4,1,1
11957,670146,2012,2022.5,80.0,1.365,18.0,22543,0.0,101012.0,601026.0,0,False,2,5,4,1,9,1,374,23,True,36,1,1,0,1
11970,970602,2015,2022.5,89.0,5.269,16.0,1065,0.0,2239.0,3187.0,0,False,1,3,2,2,1,1,1,3,True,12,1,1,0,0
11971,653683,2013,2022.5,90.0,6.152,16.0,485,0.0,169.0,3437.0,0,False,1,4,2,3,7,1,374,1,True,14,1,2,0,0
12004,927804,2016,2022.5,98.0,3.642,12.0,2653,0.0,68833.0,228960.0,0,False,1,9,1,1,6,2,3,554,True,27,1,3,0,0
12024,468182,2010,2022.5,87.0,6.152,18.0,13613,0.0,345417.0,2014374.0,0,False,8,1,3,11,3,2,17,10,True,49,1,3,0,1
12059,585359,2012,2022.5,63.0,5.787,18.0,5925,100000.0,29700.0,224101.0,0,False,4,9,6,2,4,7,374,10,True,34,1,2,0,1
12099,910071,2015,2022.5,40.0,4.133,16.0,436,0.0,16346.0,32907.0,15,False,3,2,2,14,185,2,18,554,False,18,1,2,1,0
12111,744258,2015,2022.5,76.0,6.147,6.0,2248,65000000.0,78564.0,165625.0,1,False,4,2,1,4,185,3,5,1,False,17,1,4,1,0
12152,934121,2017,2022.5,89.0,6.152,18.0,8194,50000000.0,27230.0,889246.0,0,False,1,1,2,15,13,2,26,3,True,40,1,1,0,1
12153,394465,2011,2022.5,105.0,4.296,16.0,1259,2000000.0,1097.0,6269.0,0,False,2,399,3,8,5,2,374,14,True,18,1,1,0,0
12162,1261583,2019,2022.5,76.0,4.944,18.0,1166,60668576.0,27230.0,2382.0,0,False,2,6,1,7,2,1,374,1,True,13,2,3,0,1
12167,1007433,2017,2022.5,160.0,6.208,18.0,4261,2000000.0,27230.0,6837.0,0,False,1,6,1,1,4,1,374,3,True,16,7,2,0,1
12171,465181,2016,2022.5,75.0,6.404,12.0,2198,0.0,10066.0,36206.0,0,False,1,1,1,10,1,1,1,1,False,8,1,1,0,0
12228,666003,2011,2022.5,87.0,3.791,16.0,2892,4000000.0,2109.0,8580.0,0,False,1,1,1,2,1,1,1,554,True,9,1,1,0,0
12236,1252972,2019,2022.5,70.0,0.0,16.0,145,0.0,2615.0,11765.0,0,False,83,399,85,1,1,1,374,1,True,0,2,1,0,0
12242,841726,2014,2022.5,96.0,7.668,16.0,857,0.0,27230.0,14612.0,0,False,1,1,1,1,6,1,1,1,True,11,1,1,0,0
12259,487572,2010,2022.5,106.0,6.322,18.0,1252,0.0,136.0,1060.0,0,False,11,4,4,1,6,1,374,18,True,22,1,2,0,1
12280,840231,2015,2022.5,96.0,5.873,12.0,23186,2800000.0,27230.0,964206.0,0,False,2,16,6,1,15,3,12,14,True,24,1,2,0,0
12293,839768,2014,2022.5,84.0,7.075,12.0,2239,0.0,27230.0,4707.0,0,False,1,399,1,1,1,1,1,1,True,13,2,4,0,0
12296,712697,2015,2022.5,124.0,5.882,18.0,1854,3500000.0,4552.0,15735.0,0,False,1,6,9,1,4,4,1,20,True,11,3,1,0,1
12302,714788,2014,2022.5,88.0,6.152,18.0,16544,0.0,27230.0,216536.0,0,False,1,1,1,2,1,1,1,1,True,44,2,3,0,1
12304,994649,2016,2022.5,69.0,1.039,6.0,64071,35000000.0,27230.0,119836.0,1,False,1,399,5,25,185,4,374,1,False,7,1,4,1,0
12331,905039,2017,2022.5,75.0,5.233,6.0,20509,0.0,27230.0,944348.0,0,False,3,399,19,17,185,1,5,2,False,12,1,3,0,0
12353,893113,2015,2022.5,45.0,3.872,0.0,725,0.0,27986.0,52406.0,16,False,2,399,1,4,185,2,374,554,False,14,1,2,1,0
12385,957731,2018,2022.5,80.0,4.392,18.0,438,0.0,334.0,1678.0,0,False,1,399,1,1,1,1,3,1,True,4,1,1,0,1
12392,993183,2016,2022.5,105.0,6.205,12.0,4726,5000000.0,5453.0,17978.0,0,False,1,2,1,3,1,3,1,2,True,21,1,3,0,0
12394,1009750,2017,2022.5,100.0,6.482,12.0,3139,0.0,27230.0,91630.0,0,False,1,4,6,3,1,5,2,4,True,26,1,1,0,0
12444,673713,2016,2022.5,74.0,5.093,18.0,1191,0.0,27230.0,22708.0,0,False,1,6,2,15,16,2,26,2,True,28,2,2,0,1
12487,1101274,2018,2022.5,70.0,0.0,12.0,94,0.0,1529.0,4422.0,0,False,83,399,2,43,1,2,374,554,True,0,1,2,0,0
12545,612614,2012,2022.5,81.0,6.158,18.0,5496,0.0,864.0,4575.0,0,False,2,1,5,9,3,4,7,15,True,16,1,1,0,1
12571,1039016,2017,2022.5,120.0,8.096,18.0,3499,0.0,27230.0,46024.0,2,False,6,5,6,6,3,7,9,4,True,8,1,2,1,1
12603,1274269,2019,2022.5,84.0,0.0,18.0,162,0.0,27230.0,4674.0,0,False,1,5,4,5,3,1,1,2,True,19,1,0,0,1
12648,533055,2011,2022.5,129.0,6.096,18.0,24498,12000000.0,39800.0,2761529.0,0,False,5,10,12,1,9,6,26,15,True,50,1,1,0,1
12683,1287550,2019,2022.5,94.0,5.918,18.0,7759,0.0,27230.0,9695.0,0,False,2,6,3,5,13,5,1,2,True,12,1,2,0,1
